TimeStamp,sst,sd,dlprbUsage,partition
21:48:11,1,0,0.000000,40
21:48:13,1,16777210,0.000000,11
21:48:13,1,0,0.000000,40
21:48:15,1,16777210,0.000000,11
21:48:15,1,0,0.000000,40
21:48:17,1,16777210,0.000000,11
21:48:17,1,0,0.345833,40
21:48:19,1,16777210,0.000000,11
21:48:19,1,0,0.351042,40
21:48:21,1,16777210,0.000000,11
21:48:21,1,0,0.000000,40
21:48:23,1,16777210,0.000000,11
21:48:23,1,0,0.000000,40
21:48:25,1,16777210,0.000000,11
21:48:25,1,0,0.000000,40
21:48:27,1,16777210,0.000000,11
21:48:27,1,0,0.000000,40
21:48:29,1,16777210,0.000000,11
21:48:29,1,0,0.000000,40
21:48:31,1,16777210,0.000000,11
21:48:31,1,0,0.000000,40
21:48:33,1,16777210,0.000000,11
21:48:33,1,0,0.000000,40
21:48:35,1,16777210,0.000000,11
21:48:35,1,0,0.000000,40
21:48:37,1,16777210,0.000000,11
21:48:37,1,0,0.000000,40
21:48:39,1,16777210,0.000000,11
21:48:39,1,0,0.000000,40
21:48:41,1,16777210,0.000000,11
21:48:41,1,0,0.000000,40
21:48:43,1,16777210,0.000000,11
21:48:43,1,0,0.000000,40
21:48:45,1,16777210,0.000000,11
21:48:45,1,0,0.000000,40
21:48:47,1,16777210,0.000000,11
21:48:47,1,0,0.000000,40
21:48:49,1,16777210,0.000000,11
21:48:49,1,0,0.000000,40
21:48:51,1,16777210,0.000000,11
21:48:51,1,0,0.000000,40
21:48:53,1,16777210,0.000000,11
21:48:53,1,0,0.000000,40
21:48:55,1,16777210,0.000000,11
21:48:55,1,0,0.000000,40
21:48:57,1,16777210,0.000000,11
21:48:57,1,0,0.000000,40
21:48:59,1,16777210,0.000000,11
21:48:59,1,0,0.000000,40
21:49:01,1,16777210,0.000000,11
21:49:01,1,0,0.000000,40
21:49:03,1,16777210,0.000000,11
21:49:03,1,0,0.000000,40
21:49:05,1,16777210,0.000000,11
21:49:05,1,0,0.000000,40
21:49:07,1,16777210,0.000000,11
21:49:07,1,0,0.000000,40
21:49:09,1,16777210,0.000000,11
21:49:09,1,0,0.000000,40
21:49:11,1,16777210,0.000000,11
21:49:11,1,0,0.000000,40
21:49:13,1,16777210,0.000000,11
21:49:13,1,0,0.000000,40
21:49:15,1,16777210,0.000000,11
21:49:15,1,0,0.000000,40
21:49:17,1,16777210,0.000000,11
21:49:17,1,0,0.000000,40
21:49:19,1,16777210,0.000000,11
21:49:19,1,0,0.000000,40
21:49:21,1,16777210,0.000000,11
21:49:21,1,0,0.000000,40
21:49:23,1,16777210,0.000000,11
21:49:23,1,0,0.000000,40
21:49:25,1,16777210,0.000000,11
21:49:25,1,0,0.000000,40
21:49:27,1,16777210,0.000000,11
21:49:27,1,0,0.000000,40
21:49:29,1,16777210,0.000000,11
21:49:29,1,0,0.000000,40
21:49:31,1,16777210,0.000000,11
21:49:31,1,0,0.000000,40
21:49:33,1,16777210,0.000000,11
21:49:33,1,0,0.000000,40
21:49:35,1,16777210,0.000000,11
21:49:35,1,0,0.000000,40
21:49:37,1,16777210,0.000000,11
21:49:37,1,0,0.000000,40
21:49:39,1,16777210,0.000000,11
21:49:39,1,0,0.000000,40
21:49:41,1,16777210,0.000000,11
21:49:41,1,0,0.000000,40
21:49:43,1,16777210,0.000000,11
21:49:43,1,0,0.000000,40
21:49:45,1,16777210,0.000000,11
21:49:45,1,0,0.000000,40
21:49:47,1,16777210,0.000000,11
21:49:47,1,0,0.000000,40
21:49:49,1,16777210,0.000000,11
21:49:49,1,0,0.000000,40
21:49:51,1,16777210,0.000000,11
21:49:51,1,0,0.000000,40
21:49:53,1,16777210,0.000000,11
21:49:53,1,0,0.000000,40
21:49:55,1,16777210,0.000000,11
21:49:55,1,0,0.000000,40
21:49:57,1,16777210,0.000000,11
21:49:57,1,0,0.000000,40
21:50:00,1,16777210,0.000000,11
21:50:00,1,0,0.000000,40
21:50:02,1,16777210,0.000000,11
21:50:02,1,0,0.000000,40
21:50:04,1,16777210,0.000000,11
21:50:04,1,0,0.000000,40
21:50:06,1,16777210,0.000000,11
21:50:06,1,0,0.000000,40
21:50:08,1,16777210,0.000000,11
21:50:08,1,0,0.000000,40
21:50:10,1,16777210,0.000000,11
21:50:10,1,0,0.000000,40
21:50:12,1,16777210,0.000000,11
21:50:12,1,0,0.000000,40
21:50:14,1,16777210,0.000000,11
21:50:14,1,0,0.000000,40
21:50:16,1,16777210,0.000000,11
21:50:16,1,0,0.000000,40
21:50:18,1,16777210,0.000000,11
21:50:18,1,0,0.000000,40
21:50:20,1,16777210,0.000000,11
21:50:20,1,0,0.000000,40
21:50:22,1,16777210,0.000000,11
21:50:22,1,0,0.000000,40
21:50:24,1,16777210,0.000000,11
21:50:24,1,0,0.000000,40
21:50:26,1,16777210,0.000000,11
21:50:26,1,0,0.000000,40
21:50:28,1,16777210,0.000000,11
21:50:28,1,0,0.000000,40
21:50:30,1,16777210,0.000000,11
21:50:30,1,0,0.000000,40
21:50:32,1,16777210,0.000000,11
21:50:32,1,0,0.000000,40
21:50:34,1,16777210,0.000000,11
21:50:34,1,0,0.000000,40
21:50:36,1,16777210,0.000000,11
21:50:36,1,0,0.000000,40
21:50:38,1,16777210,0.000000,11
21:50:38,1,0,0.000000,40
21:50:40,1,16777210,0.000000,11
21:50:40,1,0,0.000000,40
21:50:42,1,16777210,0.000000,11
21:50:42,1,0,0.000000,40
21:50:44,1,16777210,0.000000,11
21:50:44,1,0,0.000000,40
21:50:46,1,16777210,0.000000,11
21:50:46,1,0,0.000000,40
21:50:48,1,16777210,0.000000,11
21:50:48,1,0,0.000000,40
21:50:50,1,16777210,0.000000,11
21:50:50,1,0,0.000000,40
21:50:52,1,16777210,0.000000,11
21:50:52,1,0,0.000000,40
21:50:54,1,16777210,0.000000,11
21:50:54,1,0,0.000000,40
21:50:56,1,16777210,0.000000,11
21:50:56,1,0,0.000000,40
21:50:58,1,16777210,0.000000,11
21:50:58,1,0,0.000000,40
21:51:00,1,16777210,0.000000,11
21:51:00,1,0,0.000000,40
21:51:02,1,16777210,0.000000,11
21:51:02,1,0,0.000000,40
21:51:04,1,16777210,0.000000,11
21:51:04,1,0,0.000000,40
21:51:06,1,16777210,0.000000,11
21:51:06,1,0,0.000000,40
21:51:08,1,16777210,0.000000,11
21:51:08,1,0,0.000000,40
21:51:10,1,16777210,0.000000,11
21:51:10,1,0,0.000000,40
21:51:12,1,16777210,0.000000,11
21:51:12,1,0,0.000000,40
21:51:14,1,16777210,0.000000,11
21:51:14,1,0,0.000000,40
21:51:16,1,16777210,0.000000,11
21:51:16,1,0,0.000000,40
21:51:18,1,16777210,0.000000,11
