,time,normal_time,partition,prbUsage,sd,sst
1601,2024-09-23T01:24:03Z,01:24:03,11,0.0,16777210,1
1602,2024-09-23T01:24:08Z,01:24:08,40,0.0,0,1
1603,2024-09-23T01:24:08Z,01:24:08,11,0.0,16777210,1
1604,2024-09-23T01:24:13Z,01:24:13,40,0.0,0,1
1605,2024-09-23T01:24:13Z,01:24:13,11,0.0,16777210,1
1606,2024-09-23T01:24:18Z,01:24:18,40,0.0,0,1
1607,2024-09-23T01:24:18Z,01:24:18,11,0.0,16777210,1
1608,2024-09-23T01:24:23Z,01:24:23,40,0.0,0,1
1609,2024-09-23T01:24:23Z,01:24:23,11,0.0,16777210,1
1610,2024-09-23T01:24:28Z,01:24:28,40,0.0,0,1
1611,2024-09-23T01:24:28Z,01:24:28,11,0.0,16777210,1
1612,2024-09-23T01:24:33Z,01:24:33,40,0.0,0,1
1613,2024-09-23T01:24:33Z,01:24:33,11,0.0,16777210,1
1614,2024-09-23T01:24:38Z,01:24:38,40,0.0,0,1
1615,2024-09-23T01:24:38Z,01:24:38,11,0.0,16777210,1
1616,2024-09-23T01:24:43Z,01:24:43,40,0.0,0,1
1617,2024-09-23T01:24:43Z,01:24:43,11,0.0,16777210,1
1618,2024-09-23T01:24:48Z,01:24:48,40,0.0,0,1
1619,2024-09-23T01:24:48Z,01:24:48,11,0.0,16777210,1
1620,2024-09-23T01:24:53Z,01:24:53,40,0.0,0,1
1621,2024-09-23T01:24:53Z,01:24:53,11,0.0,16777210,1
1622,2024-09-23T01:24:58Z,01:24:58,40,0.0,0,1
1623,2024-09-23T01:24:58Z,01:24:58,11,0.0,16777210,1
1624,2024-09-23T01:25:03Z,01:25:03,40,0.0,0,1
1625,2024-09-23T01:25:03Z,01:25:03,11,0.0,16777210,1
1626,2024-09-23T01:25:08Z,01:25:08,40,0.0,0,1
1627,2024-09-23T01:25:08Z,01:25:08,11,0.0,16777210,1
1628,2024-09-23T01:25:13Z,01:25:13,40,0.0,0,1
1629,2024-09-23T01:25:13Z,01:25:13,11,0.0,16777210,1
1630,2024-09-23T01:25:18Z,01:25:18,40,0.0,0,1
1631,2024-09-23T01:25:18Z,01:25:18,11,0.0,16777210,1
1632,2024-09-23T01:25:23Z,01:25:23,40,0.0,0,1
1633,2024-09-23T01:25:23Z,01:25:23,11,0.0,16777210,1
1634,2024-09-23T01:25:28Z,01:25:28,40,0.0,0,1
1635,2024-09-23T01:25:28Z,01:25:28,11,0.0,16777210,1
1636,2024-09-23T01:25:33Z,01:25:33,40,0.0,0,1
1637,2024-09-23T01:25:33Z,01:25:33,11,0.0,16777210,1
1638,2024-09-23T01:25:38Z,01:25:38,40,0.0,0,1
1639,2024-09-23T01:25:38Z,01:25:38,11,0.0,16777210,1
1640,2024-09-23T01:25:43Z,01:25:43,40,0.0,0,1
1641,2024-09-23T01:25:43Z,01:25:43,11,0.0,16777210,1
1642,2024-09-23T01:25:48Z,01:25:48,40,0.0,0,1
1643,2024-09-23T01:25:48Z,01:25:48,11,0.0,16777210,1
1644,2024-09-23T01:25:53Z,01:25:53,40,0.0,0,1
1645,2024-09-23T01:25:53Z,01:25:53,11,0.0,16777210,1
1646,2024-09-23T01:25:58Z,01:25:58,40,0.0,0,1
1647,2024-09-23T01:25:58Z,01:25:58,11,0.0,16777210,1
1648,2024-09-23T01:26:03Z,01:26:03,40,0.0,0,1
1649,2024-09-23T01:26:03Z,01:26:03,11,0.0,16777210,1
1650,2024-09-23T01:26:08Z,01:26:08,40,0.0,0,1
1651,2024-09-23T01:26:08Z,01:26:08,11,0.0,16777210,1
1652,2024-09-23T01:26:13Z,01:26:13,40,0.0,0,1
1653,2024-09-23T01:26:13Z,01:26:13,11,0.0,16777210,1
1654,2024-09-23T01:26:18Z,01:26:18,40,0.0,0,1
1655,2024-09-23T01:26:18Z,01:26:18,11,0.0,16777210,1
1656,2024-09-23T01:26:23Z,01:26:23,40,0.0,0,1
1657,2024-09-23T01:26:23Z,01:26:23,11,0.0,16777210,1
1658,2024-09-23T01:26:28Z,01:26:28,40,0.0,0,1
1659,2024-09-23T01:26:28Z,01:26:28,11,0.0,16777210,1
1660,2024-09-23T01:26:33Z,01:26:33,40,0.0,0,1
1661,2024-09-23T01:26:33Z,01:26:33,11,0.0,16777210,1
1662,2024-09-23T01:26:38Z,01:26:38,40,0.0,0,1
1663,2024-09-23T01:26:38Z,01:26:38,11,0.0,16777210,1
1664,2024-09-23T01:26:43Z,01:26:43,40,0.0,0,1
1665,2024-09-23T01:26:43Z,01:26:43,11,0.0,16777210,1
1666,2024-09-23T01:26:48Z,01:26:48,40,0.0,0,1
1667,2024-09-23T01:26:48Z,01:26:48,11,0.0,16777210,1
1668,2024-09-23T01:26:53Z,01:26:53,40,0.0,0,1
1669,2024-09-23T01:26:53Z,01:26:53,11,0.0,16777210,1
1670,2024-09-23T01:26:58Z,01:26:58,40,0.0,0,1
1671,2024-09-23T01:26:58Z,01:26:58,11,0.0,16777210,1
1672,2024-09-23T01:27:03Z,01:27:03,40,0.0,0,1
1673,2024-09-23T01:27:03Z,01:27:03,11,0.0,16777210,1
1674,2024-09-23T01:27:08Z,01:27:08,40,0.0,0,1
1675,2024-09-23T01:27:08Z,01:27:08,11,0.0,16777210,1
1676,2024-09-23T01:27:13Z,01:27:13,40,0.0,0,1
1677,2024-09-23T01:27:13Z,01:27:13,11,0.0,16777210,1
1678,2024-09-23T01:27:18Z,01:27:18,40,0.0,0,1
1679,2024-09-23T01:27:18Z,01:27:18,11,3.237879,16777210,1
1680,2024-09-23T01:27:23Z,01:27:23,40,0.0,0,1
1681,2024-09-23T01:27:23Z,01:27:23,11,0.027273,16777210,1
1682,2024-09-23T01:27:28Z,01:27:28,40,0.0,0,1
1683,2024-09-23T01:27:28Z,01:27:28,11,0.0,16777210,1
1684,2024-09-23T01:27:33Z,01:27:33,40,0.585,0,1
1685,2024-09-23T01:27:33Z,01:27:33,11,0.0,16777210,1
1686,2024-09-23T01:27:38Z,01:27:38,40,28.473333,0,1
1687,2024-09-23T01:27:38Z,01:27:38,11,0.0,16777210,1
1688,2024-09-23T01:27:43Z,01:27:43,40,2.675833,0,1
1689,2024-09-23T01:27:43Z,01:27:43,11,0.0,16777210,1
1690,2024-09-23T01:27:48Z,01:27:48,40,0.005417,0,1
1691,2024-09-23T01:27:48Z,01:27:48,11,0.0,16777210,1
1692,2024-09-23T01:27:53Z,01:27:53,40,0.005417,0,1
1693,2024-09-23T01:27:53Z,01:27:53,11,0.0,16777210,1
