"( 1, 0) ","( 1, 16777210) ",Time
38.1365,0.0,117
38.0698,0.0,118
82.9646,0.0,119
99.9708,0.0,120
99.8833,0.0,121
99.8125,0.0,122
99.975,0.0,123
100.0,0.0,124
99.9448,0.0,125
99.9708,0.0,126
81.8979,0.0,127
37.2698,0.0,128
37.6396,0.0,129
37.8073,0.0,130
37.2615,0.0,131
37.176,0.0,132
39.0896,0.0,133
41.8833,0.0,134
38.8656,0.0,135
42.95,0.0,136
44.8687,0.0,137
57.3948,0.0,138
78.4583,0.0,139
99.9458,0.0,140
99.8458,0.0,141
99.9167,0.0,142
100.0,0.0,143
48.2854,0.0,144
39.9615,0.0,145
39.1333,0.0,146
38.6187,0.0,147
42.6719,0.0,148
41.4854,0.0,149
36.9729,0.0,150
37.4417,0.0,151
51.526,0.0,152
39.9385,0.0,153
36.9521,0.0,154
39.626,0.0,155
46.925,0.0,156
39.4229,0.0,157
36.951,0.0,158
40.3958,0.0,159
36.9615,0.0,160
37.2302,0.0,161
38.5969,0.0,162
49.3208,0.0,163
38.3615,0.0,164
36.9406,0.0,165
41.5156,0.0,166
39.125,0.0,167
36.875,0.0,168
36.9781,0.0,169
55.0646,56.178,170
88.9792,97.3144,171
90.3083,97.7083,172
91.4823,71.8636,173
97.95,0.0,174
96.05,0.0,175
99.8083,0.0,176
99.9875,0.0,177
100.0,0.0,178
75.0854,0.0,179
36.9708,0.0,180
36.9167,0.0,181
42.6031,0.0,182
37.5615,0.0,183
36.901,0.0,184
36.9771,0.0,185
45.9573,0.0,186
38.9167,0.0,187
37.2854,0.0,188
36.9542,0.0,189
39.6771,0.0,190
39.7292,0.0,191
37.0677,0.0,192
40.9427,0.0,193
99.6833,0.0,194
75.7865,0.0,195
95.2875,0.0,196
99.975,0.0,197
99.4062,0.0,198
99.9417,0.0,199
99.8833,0.0,200
99.9917,0.0,201
75.2521,0.0,202
39.8354,7.04167,203
19.4031,0.0,204
0.0,0.174242,205
0.00104167,0.0,206
0.00833333,0.212121,207
0.0,0.19697,208
0.0,0.121212,209
0.0,0.0757576,210
0.0,0.0833333,211
0.0,0.117424,212
0.0,0.0454545,213
1.4875,0.0,214
2.32083,0.0,215
0.0,0.0,216
0.0,0.0,217
0.0,0.0,218
0.0,0.0,219
0.0,0.0,220
0.0,0.0,221
0.0,0.0,222
0.0,0.0,223
0.0,0.0,224
0.0,0.0,225
0.0,0.0,226
0.0,0.0,227
0.0,0.0,228
0.0,0.0,229
0.0,0.0,230
0.0,0.0,231
0.0,0.0,232
0.0,0.0,233
0.0,0.0,234
0.0,0.0,235
0.0,0.0,236
0.0,0.0,237
0.0,0.0,238
0.0,0.0,239
0.0,0.0,240
0.0,0.0,241
0.0,0.0,242
0.0,0.0,243
0.0,0.0,244
0.0,0.0,245
0.0,0.0,246
0.0,0.0,247
0.0,0.0,248
0.0,0.0,249
7.40729,0.0,250
0.0229167,0.0,251
0.0,0.0,252
0.0,0.0,253
0.0,0.0,254
0.0,0.0,255
0.0,0.0,256
0.0,0.0,257
0.0,0.0,258
0.0,0.0,259
1.87187,0.0,260
0.0864583,0.0,261
0.0,0.0,262
0.0,0.0,263
0.0,0.0,264
0.0229167,0.0,265
0.0,0.0,266
0.0,0.0,267
0.0,0.0,268
0.0,0.0,269
0.0,0.0,270
1.93125,0.0,271
0.01875,0.0,272
0.0,0.0,273
0.0,0.0,274
0.0,0.0,275
0.0,0.0,276
0.0,0.0,277
0.0,0.0,278
0.0,0.0,279
0.0,0.0,280
0.0260417,0.0,281
4.01771,0.0,282
0.0364583,0.0,283
0.0,0.0,284
0.0,0.0,285
0.0,0.0,286
0.0,0.0,287
0.0,0.0,288
0.0,0.0,289
0.0,0.0,290
0.0,0.0,291
0.0,0.0,292
0.0,0.0,293
0.0,0.0,294
0.0,0.0,295
0.0,0.0,296
0.0,0.0,297
0.0,0.0,298
0.0,0.0,299
0.0,0.0,300
0.0,0.0,301
0.0,0.0,302
0.0,0.0,303
0.0,0.0,304
0.0,0.0,305
0.0,0.0,306
0.0,0.0,307
0.0,0.0,308
0.0,0.0,309
0.0,0.0,310
0.0,0.0,311
0.0,0.0,312
0.0,0.0,313
0.0,0.0,314
0.0,0.0,315
0.0,0.0,316
0.00104167,0.0,317
0.00104167,0.0,318
0.00104167,0.0,319
0.00104167,0.0,320
0.0,0.0,321
0.0,0.0,322
0.0,0.0,323
0.00104167,0.0,324
0.0,0.0,325
0.0,0.0,326
