Actual,Predicted
2.59,2.554064
2.745,2.6349251
2.883,2.7482412
3.069,2.8955088
3.153,3.0704806
3.344,3.1348114
3.3230000000000004,3.3122318
3.277,3.2706454
3.2950000000000004,3.1848407
2.892,3.1876564
3.648000000000001,2.7622137
3.723,3.5106514
3.781,3.6356587
3.672,3.6478393
3.654,3.5625973
3.903,3.525197
4.05,3.7737887
3.9739999999999993,3.9191008
4.038,3.810745
4.114,3.8738928
3.4450000000000003,3.9570658
3.177,3.2340221
2.959,2.920068
2.9330000000000003,2.7179823
2.857,2.6696966
2.539,2.6187215
2.564,2.344154
2.567,2.3742437
2.534,2.4262786
2.484,2.401809
2.734,2.3666353
2.913,2.633204
3.436,2.8493326
3.793,3.4171834
4.457000000000001,3.8389854
4.857,4.5996575
4.874,5.027099
5.262,4.9116344
5.451,5.2875757
5.612,5.417385
5.255000000000001,5.5003147
5.293,5.0093236
5.148000000000001,4.9993463
5.285,4.820222
5.046,4.96192
4.96,4.707243
4.976,4.617839
5.285,4.6605787
5.546,5.0300207
5.841,5.3523493
6.328,5.7036114
6.636,6.2947693
6.473999999999999,6.6155667
6.1530000000000005,6.304289
5.898000000000001,5.838001
5.656000000000001,5.4935184
5.51,5.1975384
4.885,5.0411143
4.568,4.4079213
4.192,4.095934
3.74,3.7512696
3.297,3.3266642
3.236,2.923134
3.26,2.8755434
3.189,2.9418576
3.286,2.9164853
3.315,3.065484
3.444,3.1464143
3.595,3.3011136
3.916,3.4822457
3.88,3.8383904
3.957,3.7840126
4.098000000000001,3.8404436
4.711,3.9897838
4.538,4.6785235
4.272,4.419043
4.311,4.0693455
4.253,4.1054487
4.025,4.0155315
3.62,3.7469885
3.782,3.3327172
4.034000000000001,3.4930127
4.142,3.7963865
3.61,3.9320333
3.857,3.3897362
3.931,3.641204
3.927000000000001,3.7531474
3.913,3.7196016
3.94,3.7175248
4.086,3.7534573
4.017,3.912393
3.781,3.8339972
3.583,3.5696657
3.4590000000000005,3.3551137
3.3010000000000006,3.2229896
3.3549999999999995,3.0590508
3.35,3.116341
3.3269999999999995,3.138911
3.229,3.13105
3.0780000000000003,3.054109
2.9270000000000005,2.9103425
2.7960000000000003,2.7593384
2.611,2.6282241
2.528,2.4484315
2.512,2.364773
2.442,2.3632338
2.325,2.3099642
2.184,2.2076013
2.093,2.0850883
2.277,2.0034971
2.39,2.1818185
2.462,2.32226
2.8110000000000004,2.396858
2.761,2.7740405
2.766,2.7490666
2.649,2.7191548
2.584,2.6083345
2.707,2.5154724
2.801,2.6213279
